"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","Should throw an exception when the expense exceeds the limit amount","","Tue Jun 24 16:43:48 MSK 2025","passed","Tue Jun 24 16:43:48 MSK 2025","","Unit tests to check the work with expenses","FinanceTrackingSystemTests.ExpenseTests","testAddExpenseExceedsLimit"
"","2","Should throw exception when income is non-positive","","Tue Jun 24 16:43:48 MSK 2025","passed","Tue Jun 24 16:43:48 MSK 2025","","Unit tests to check the work with incomes","FinanceTrackingSystemTests.IncomeTests","testAddIncomeWithInvalidAmount"
"","3","Adding expenses to a category should reduce the current balance and increase the amount in the category","","Tue Jun 24 16:43:48 MSK 2025","passed","Tue Jun 24 16:43:48 MSK 2025","","Unit tests to check the work with expenses","FinanceTrackingSystemTests.ExpenseTests","testAddExpenseToCategory"
"","2","Deleting a bank account should remove it from the list of available accounts","","Tue Jun 24 16:43:48 MSK 2025","passed","Tue Jun 24 16:43:48 MSK 2025","","Unit tests to check the work with bank accounts","FinanceTrackingSystemTests.BankAccountTests","testDeleteBankAccount"
"","2","Bank history should be empty when there no transactions","","Tue Jun 24 16:43:48 MSK 2025","passed","Tue Jun 24 16:43:48 MSK 2025","","Unit tests to check the work with bank history","FinanceTrackingSystemTests.BankHistoryTests","testEmptyShowBankHistory"
"","1","Adding a expense to another account should reduce the current balance and the account's balance","","Tue Jun 24 16:43:48 MSK 2025","passed","Tue Jun 24 16:43:48 MSK 2025","","Unit tests to check the work with expenses","FinanceTrackingSystemTests.ExpenseTests","testAddExpenseToAnotherAccount"
"","4","Bank history should show income and expense records","","Tue Jun 24 16:43:48 MSK 2025","passed","Tue Jun 24 16:43:48 MSK 2025","","Unit tests to check the work with bank history","FinanceTrackingSystemTests.BankHistoryTests","testShowBankHistory"
"","1","Adding an expense should reduce the current balance","","Tue Jun 24 16:43:48 MSK 2025","passed","Tue Jun 24 16:43:48 MSK 2025","","Unit tests to check the work with expenses","FinanceTrackingSystemTests.ExpenseTests","testAddExpense"
"","7","Adding an bank account should add it to the list with available accounts","","Tue Jun 24 16:43:48 MSK 2025","passed","Tue Jun 24 16:43:48 MSK 2025","","Unit tests to check the work with bank accounts","FinanceTrackingSystemTests.BankAccountTests","testAddBankAccount"
"","2","Should throw when trying to create an existing account","","Tue Jun 24 16:43:48 MSK 2025","passed","Tue Jun 24 16:43:48 MSK 2025","","Unit tests to check the work with bank accounts","FinanceTrackingSystemTests.BankAccountTests","testAddDuplicateBankAccount"
"","1","Adding a income should increase the current balance","","Tue Jun 24 16:43:48 MSK 2025","passed","Tue Jun 24 16:43:48 MSK 2025","","Unit tests to check the work with incomes","FinanceTrackingSystemTests.IncomeTests","testAddIncome"
"","25","Should throw when deleting General Bank Account","","Tue Jun 24 16:43:48 MSK 2025","passed","Tue Jun 24 16:43:48 MSK 2025","","Unit tests to check the work with bank accounts","FinanceTrackingSystemTests.BankAccountTests","testDeleteGeneralBankAccount"
"","5","Deleting a bank account should remove it from the list of available accounts and transfer the balance","","Tue Jun 24 16:43:48 MSK 2025","passed","Tue Jun 24 16:43:48 MSK 2025","","Unit tests to check the work with bank accounts","FinanceTrackingSystemTests.BankAccountTests","testDeleteBankAccountWithBalance"
"","2","Should throw exception when expense is non-positive","","Tue Jun 24 16:43:48 MSK 2025","passed","Tue Jun 24 16:43:48 MSK 2025","","Unit tests to check the work with expenses","FinanceTrackingSystemTests.ExpenseTests","testAddExpenseWithInvalidInput"
"","1","Adding a income to another account should increase the current balance and the account's balance","","Tue Jun 24 16:43:48 MSK 2025","passed","Tue Jun 24 16:43:48 MSK 2025","","Unit tests to check the work with incomes","FinanceTrackingSystemTests.IncomeTests","testAddIncomeToAnotherAccount"
